generation,game,fitness,counter,eq_count,nash_list,eq_list,R,C,r_utility,c_utility
4,"[2, 4, 3, 1, 4, 3, 2, 1]",5.0,11,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 2.0]]",[3.0],[2.0],3.0,2.0
4,"[2, 4, 3, 1, 4, 2, 3, 1]",6.0,12,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 3.0]]",[3.0],[3.0],3.0,3.0
4,"[2, 4, 3, 1, 4, 1, 3, 2]",6.0,13,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 3.0]]",[3.0],[3.0],3.0,3.0
4,"[2, 4, 3, 1, 4, 2, 1, 3]",5.0,14,1,"[(array([0.5, 0.5]), array([0.75, 0.25]))]","[[2.5, 2.5]]",[2.5],[2.5],2.5,2.5
4,"[2, 4, 3, 1, 4, 3, 1, 2]",5.0,15,1,"[(array([0.5, 0.5]), array([0.75, 0.25]))]","[[2.5, 2.5]]",[2.5],[2.5],2.5,2.5
4,"[3, 4, 2, 1, 4, 3, 2, 1]",7.0,16,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
4,"[3, 4, 2, 1, 4, 2, 3, 1]",7.0,17,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
4,"[3, 4, 2, 1, 4, 1, 3, 2]",7.0,18,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
4,"[3, 4, 2, 1, 4, 1, 2, 3]",7.0,19,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
4,"[3, 4, 2, 1, 4, 2, 1, 3]",7.0,20,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
4,"[3, 4, 2, 1, 4, 3, 1, 2]",7.0,21,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
4,"[3, 4, 1, 2, 4, 3, 2, 1]",7.0,22,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
4,"[3, 4, 1, 2, 4, 2, 3, 1]",7.0,23,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
4,"[3, 4, 1, 2, 4, 1, 3, 2]",7.0,24,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
4,"[3, 4, 1, 2, 4, 1, 2, 3]",7.0,25,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
4,"[3, 4, 1, 2, 4, 2, 1, 3]",7.0,26,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
4,"[3, 4, 1, 2, 4, 3, 1, 2]",7.0,27,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
4,"[2, 4, 1, 3, 4, 3, 2, 1]",6.0,28,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
4,"[2, 4, 1, 3, 4, 2, 3, 1]",6.0,29,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
4,"[2, 4, 1, 3, 4, 1, 3, 2]",6.0,30,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
4,"[2, 4, 1, 3, 4, 1, 2, 3]",6.0,31,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
4,"[2, 4, 1, 3, 4, 2, 1, 3]",6.0,32,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
4,"[2, 4, 1, 3, 4, 3, 1, 2]",6.0,33,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
4,"[3, 4, 1, 3, 4, 1, 3, 2]",7.0,34,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
4,"[3, 4, 3, 2, 4, 2, 1, 3]",7.0,35,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
5,"[1, 4, 2, 3, 4, 3, 2, 1]",4.0,0,1,"[(array([0., 1.]), array([1., 0.]))]","[[2.0, 2.0]]",[2.0],[2.0],2.0,2.0
5,"[1, 4, 2, 3, 4, 2, 3, 1]",5.0,1,1,"[(array([0., 1.]), array([1., 0.]))]","[[2.0, 3.0]]",[2.0],[3.0],2.0,3.0
5,"[1, 4, 2, 3, 4, 1, 3, 2]",5.0,2,1,"[(array([0., 1.]), array([1., 0.]))]","[[2.0, 3.0]]",[2.0],[3.0],2.0,3.0
5,"[1, 4, 2, 3, 4, 1, 2, 3]",5.0,3,1,"[(array([0.25, 0.75]), array([0.5, 0.5]))]","[[2.5, 2.5]]",[2.5],[2.5],2.5,2.5
5,"[1, 4, 2, 3, 4, 2, 1, 3]",5.0,4,1,"[(array([0.5, 0.5]), array([0.5, 0.5]))]","[[2.5, 2.5]]",[2.5],[2.5],2.5,2.5
5,"[1, 4, 2, 3, 4, 3, 1, 2]",5.0,5,1,"[(array([0.5, 0.5]), array([0.5, 0.5]))]","[[2.5, 2.5]]",[2.5],[2.5],2.5,2.5
5,"[1, 4, 3, 2, 4, 3, 2, 1]",5.0,6,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 2.0]]",[3.0],[2.0],3.0,2.0
5,"[1, 4, 3, 2, 4, 2, 3, 1]",6.0,7,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 3.0]]",[3.0],[3.0],3.0,3.0
5,"[1, 4, 3, 2, 4, 1, 3, 2]",6.0,8,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 3.0]]",[3.0],[3.0],3.0,3.0
5,"[1, 4, 3, 2, 4, 1, 2, 3]",5.0,9,1,"[(array([0.25, 0.75]), array([0.5, 0.5]))]","[[2.5, 2.5]]",[2.5],[2.5],2.5,2.5
5,"[2, 4, 3, 1, 4, 3, 2, 1]",5.0,10,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 2.0]]",[3.0],[2.0],3.0,2.0
5,"[2, 4, 3, 1, 4, 2, 3, 1]",6.0,11,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 3.0]]",[3.0],[3.0],3.0,3.0
5,"[2, 4, 3, 1, 4, 1, 3, 2]",6.0,12,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 3.0]]",[3.0],[3.0],3.0,3.0
5,"[2, 4, 3, 1, 4, 2, 1, 3]",5.0,13,1,"[(array([0.5, 0.5]), array([0.75, 0.25]))]","[[2.5, 2.5]]",[2.5],[2.5],2.5,2.5
5,"[2, 4, 3, 1, 4, 3, 1, 2]",5.0,14,1,"[(array([0.5, 0.5]), array([0.75, 0.25]))]","[[2.5, 2.5]]",[2.5],[2.5],2.5,2.5
5,"[3, 4, 2, 1, 4, 3, 2, 1]",7.0,15,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
5,"[3, 4, 2, 1, 4, 2, 3, 1]",7.0,16,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
5,"[3, 4, 2, 1, 4, 1, 3, 2]",7.0,17,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
5,"[3, 4, 2, 1, 4, 1, 2, 3]",7.0,18,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
5,"[3, 4, 2, 1, 4, 2, 1, 3]",7.0,19,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
5,"[3, 4, 2, 1, 4, 3, 1, 2]",7.0,20,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
5,"[3, 4, 1, 2, 4, 3, 2, 1]",7.0,21,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
5,"[3, 4, 1, 2, 4, 2, 3, 1]",7.0,22,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
5,"[3, 4, 1, 2, 4, 1, 3, 2]",7.0,23,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
5,"[3, 4, 1, 2, 4, 1, 2, 3]",7.0,24,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
5,"[3, 4, 1, 2, 4, 2, 1, 3]",7.0,25,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
5,"[3, 4, 1, 2, 4, 3, 1, 2]",7.0,26,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
5,"[2, 4, 1, 3, 4, 3, 2, 1]",6.0,27,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
5,"[2, 4, 1, 3, 4, 2, 3, 1]",6.0,28,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
5,"[2, 4, 1, 3, 4, 1, 3, 2]",6.0,29,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
5,"[2, 4, 1, 3, 4, 1, 2, 3]",6.0,30,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
5,"[2, 4, 1, 3, 4, 2, 1, 3]",6.0,31,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
5,"[2, 4, 1, 3, 4, 3, 1, 2]",6.0,32,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
5,"[3, 4, 1, 3, 4, 1, 3, 2]",7.0,33,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
5,"[3, 4, 3, 2, 4, 2, 1, 3]",7.0,34,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
5,"[3, 4, 3, 2, 4, 1, 2, 3]",7.0,35,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
6,"[1, 4, 2, 3, 4, 3, 2, 1]",4.0,0,1,"[(array([0., 1.]), array([1., 0.]))]","[[2.0, 2.0]]",[2.0],[2.0],2.0,2.0
6,"[1, 4, 2, 3, 4, 2, 3, 1]",5.0,1,1,"[(array([0., 1.]), array([1., 0.]))]","[[2.0, 3.0]]",[2.0],[3.0],2.0,3.0
6,"[1, 4, 2, 3, 4, 1, 3, 2]",5.0,2,1,"[(array([0., 1.]), array([1., 0.]))]","[[2.0, 3.0]]",[2.0],[3.0],2.0,3.0
6,"[1, 4, 2, 3, 4, 1, 2, 3]",5.0,3,1,"[(array([0.25, 0.75]), array([0.5, 0.5]))]","[[2.5, 2.5]]",[2.5],[2.5],2.5,2.5
6,"[1, 4, 2, 3, 4, 3, 1, 2]",5.0,4,1,"[(array([0.5, 0.5]), array([0.5, 0.5]))]","[[2.5, 2.5]]",[2.5],[2.5],2.5,2.5
6,"[1, 4, 3, 2, 4, 3, 2, 1]",5.0,5,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 2.0]]",[3.0],[2.0],3.0,2.0
6,"[1, 4, 3, 2, 4, 2, 3, 1]",6.0,6,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 3.0]]",[3.0],[3.0],3.0,3.0
6,"[1, 4, 3, 2, 4, 1, 3, 2]",6.0,7,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 3.0]]",[3.0],[3.0],3.0,3.0
6,"[1, 4, 3, 2, 4, 1, 2, 3]",5.0,8,1,"[(array([0.25, 0.75]), array([0.5, 0.5]))]","[[2.5, 2.5]]",[2.5],[2.5],2.5,2.5
6,"[2, 4, 3, 1, 4, 3, 2, 1]",5.0,9,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 2.0]]",[3.0],[2.0],3.0,2.0
6,"[2, 4, 3, 1, 4, 2, 3, 1]",6.0,10,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 3.0]]",[3.0],[3.0],3.0,3.0
6,"[2, 4, 3, 1, 4, 1, 3, 2]",6.0,11,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 3.0]]",[3.0],[3.0],3.0,3.0
6,"[2, 4, 3, 1, 4, 2, 1, 3]",5.0,12,1,"[(array([0.5, 0.5]), array([0.75, 0.25]))]","[[2.5, 2.5]]",[2.5],[2.5],2.5,2.5
6,"[2, 4, 3, 1, 4, 3, 1, 2]",5.0,13,1,"[(array([0.5, 0.5]), array([0.75, 0.25]))]","[[2.5, 2.5]]",[2.5],[2.5],2.5,2.5
6,"[3, 4, 2, 1, 4, 3, 2, 1]",7.0,14,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
6,"[3, 4, 2, 1, 4, 2, 3, 1]",7.0,15,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
6,"[3, 4, 2, 1, 4, 1, 3, 2]",7.0,16,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
6,"[3, 4, 2, 1, 4, 1, 2, 3]",7.0,17,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
6,"[3, 4, 2, 1, 4, 2, 1, 3]",7.0,18,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
6,"[3, 4, 2, 1, 4, 3, 1, 2]",7.0,19,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
6,"[3, 4, 1, 2, 4, 3, 2, 1]",7.0,20,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
6,"[3, 4, 1, 2, 4, 2, 3, 1]",7.0,21,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
6,"[3, 4, 1, 2, 4, 1, 3, 2]",7.0,22,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
6,"[3, 4, 1, 2, 4, 1, 2, 3]",7.0,23,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
6,"[3, 4, 1, 2, 4, 2, 1, 3]",7.0,24,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
6,"[3, 4, 1, 2, 4, 3, 1, 2]",7.0,25,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
6,"[2, 4, 1, 3, 4, 3, 2, 1]",6.0,26,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
6,"[2, 4, 1, 3, 4, 2, 3, 1]",6.0,27,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
6,"[2, 4, 1, 3, 4, 1, 3, 2]",6.0,28,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
6,"[2, 4, 1, 3, 4, 1, 2, 3]",6.0,29,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
6,"[2, 4, 1, 3, 4, 2, 1, 3]",6.0,30,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
6,"[2, 4, 1, 3, 4, 3, 1, 2]",6.0,31,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
6,"[3, 4, 1, 3, 4, 1, 3, 2]",7.0,32,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
6,"[3, 4, 3, 2, 4, 2, 1, 3]",7.0,33,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
6,"[3, 4, 3, 2, 4, 1, 2, 3]",7.0,34,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
6,"[2, 4, 1, 3, 4, 1, 3, 1]",6.0,35,1,"[(array([1., 0.]), array([1., 0.]))]","[[2.0, 4.0]]",[2.0],[4.0],2.0,4.0
7,"[1, 4, 2, 3, 4, 3, 2, 1]",4.0,0,1,"[(array([0., 1.]), array([1., 0.]))]","[[2.0, 2.0]]",[2.0],[2.0],2.0,2.0
7,"[1, 4, 2, 3, 4, 2, 3, 1]",5.0,1,1,"[(array([0., 1.]), array([1., 0.]))]","[[2.0, 3.0]]",[2.0],[3.0],2.0,3.0
7,"[1, 4, 2, 3, 4, 1, 3, 2]",5.0,2,1,"[(array([0., 1.]), array([1., 0.]))]","[[2.0, 3.0]]",[2.0],[3.0],2.0,3.0
7,"[1, 4, 2, 3, 4, 1, 2, 3]",5.0,3,1,"[(array([0.25, 0.75]), array([0.5, 0.5]))]","[[2.5, 2.5]]",[2.5],[2.5],2.5,2.5
7,"[1, 4, 2, 3, 4, 3, 1, 2]",5.0,4,1,"[(array([0.5, 0.5]), array([0.5, 0.5]))]","[[2.5, 2.5]]",[2.5],[2.5],2.5,2.5
7,"[1, 4, 3, 2, 4, 3, 2, 1]",5.0,5,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 2.0]]",[3.0],[2.0],3.0,2.0
7,"[1, 4, 3, 2, 4, 2, 3, 1]",6.0,6,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 3.0]]",[3.0],[3.0],3.0,3.0
7,"[1, 4, 3, 2, 4, 1, 3, 2]",6.0,7,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 3.0]]",[3.0],[3.0],3.0,3.0
7,"[1, 4, 3, 2, 4, 1, 2, 3]",5.0,8,1,"[(array([0.25, 0.75]), array([0.5, 0.5]))]","[[2.5, 2.5]]",[2.5],[2.5],2.5,2.5
7,"[2, 4, 3, 1, 4, 3, 2, 1]",5.0,9,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 2.0]]",[3.0],[2.0],3.0,2.0
7,"[2, 4, 3, 1, 4, 2, 3, 1]",6.0,10,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 3.0]]",[3.0],[3.0],3.0,3.0
7,"[2, 4, 3, 1, 4, 1, 3, 2]",6.0,11,1,"[(array([0., 1.]), array([1., 0.]))]","[[3.0, 3.0]]",[3.0],[3.0],3.0,3.0
7,"[2, 4, 3, 1, 4, 2, 1, 3]",5.0,12,1,"[(array([0.5, 0.5]), array([0.75, 0.25]))]","[[2.5, 2.5]]",[2.5],[2.5],2.5,2.5
7,"[2, 4, 3, 1, 4, 3, 1, 2]",5.0,13,1,"[(array([0.5, 0.5]), array([0.75, 0.25]))]","[[2.5, 2.5]]",[2.5],[2.5],2.5,2.5
7,"[3, 4, 2, 1, 4, 3, 2, 1]",7.0,14,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
7,"[3, 4, 2, 1, 4, 2, 3, 1]",7.0,15,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
7,"[3, 4, 2, 1, 4, 1, 2, 3]",7.0,16,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
7,"[3, 4, 2, 1, 4, 2, 1, 3]",7.0,17,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
7,"[3, 4, 2, 1, 4, 3, 1, 2]",7.0,18,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
7,"[3, 4, 1, 2, 4, 3, 2, 1]",7.0,19,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
7,"[3, 4, 1, 2, 4, 2, 3, 1]",7.0,20,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
7,"[3, 4, 1, 2, 4, 1, 3, 2]",7.0,21,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
7,"[3, 4, 1, 2, 4, 1, 2, 3]",7.0,22,1,"[(array([1., 0.]), array([1., 0.]))]","[[3.0, 4.0]]",[3.0],[4.0],3.0,4.0
